order_id,ship_service_level,ship_city,ship_state,ship_postal_code,ship_country,courier_status,fulfilled_by
405-8078784-5731545,Standard,MUMBAI,MAHARASHTRA,400081.0,IN,,Easy Ship
171-9198151-1101146,Standard,BENGALURU,KARNATAKA,560085.0,IN,Shipped,Easy Ship
404-0687676-7273146,Expedited,NAVI MUMBAI,MAHARASHTRA,410210.0,IN,Shipped,
403-9615377-8133951,Standard,PUDUCHERRY,PUDUCHERRY,605008.0,IN,,Easy Ship
407-1069790-7240320,Expedited,CHENNAI,TAMIL NADU,600073.0,IN,Shipped,
404-1490984-4578765,Expedited,GHAZIABAD,UTTAR PRADESH,201102.0,IN,Shipped,
408-5748499-6859555,Expedited,CHANDIGARH,CHANDIGARH,160036.0,IN,Shipped,
406-7807733-3785945,Standard,HYDERABAD,TELANGANA,500032.0,IN,Shipped,Easy Ship
407-5443024-5233168,Expedited,HYDERABAD,TELANGANA,500008.0,IN,Cancelled,
402-4393761-0311520,Expedited,Chennai,TAMIL NADU,600041.0,IN,Shipped,
407-5633625-6970741,Expedited,CHENNAI,TAMIL NADU,600073.0,IN,Shipped,
171-4638481-6326716,Expedited,NOIDA,UTTAR PRADESH,201303.0,IN,Shipped,
405-5513694-8146768,Standard,Amravati.,MAHARASHTRA,444606.0,IN,Shipped,Easy Ship
408-7955685-3083534,Expedited,MUMBAI,MAHARASHTRA,400053.0,IN,Shipped,
408-1298370-1920302,Standard,MUMBAI,MAHARASHTRA,400053.0,IN,Shipped,Easy Ship
403-4965581-9520319,Standard,GUNTAKAL,ANDHRA PRADESH,515801.0,IN,Shipped,Easy Ship
406-9379318-6555504,Expedited,JAIPUR,RAJASTHAN,302020.0,IN,Shipped,
405-9013803-8009918,Expedited,NEW DELHI,DELHI,110074.0,IN,Shipped,
402-4030358-5835511,Standard,Gurgaon,HARYANA,122004.0,IN,Shipped,Easy Ship
405-5957858-1051546,Expedited,BENGALURU,KARNATAKA,560017.0,IN,Shipped,
405-0607769-0716360,Expedited,TIRUCHIRAPPALLI,TAMIL NADU,620018.0,IN,Shipped,
404-8494550-5860325,Expedited,BENGALURU,KARNATAKA,560040.0,IN,Shipped,
171-1305077-2813934,Expedited,HYDERABAD,TELANGANA,500072.0,IN,Shipped,
404-6019946-2909948,Standard,pune,MAHARASHTRA,411044.0,IN,,Easy Ship
402-3384087-4005164,Expedited,TEZPUR,ASSAM,784001.0,IN,Shipped,
405-8191138-5176316,Standard,RANCHI,JHARKHAND,834002.0,IN,Shipped,Easy Ship
403-9230474-9657916,Standard,BILASPUR,CHHATTISGARH,495001.0,IN,Shipped,Easy Ship
408-3484251-6901959,Expedited,PUNE,MAHARASHTRA,411052.0,IN,Shipped,
405-7755803-4729935,Expedited,BENGALURU,KARNATAKA,560037.0,IN,Shipped,
404-5933402-8801952,Standard,GUWAHATI,ASSAM,781003.0,IN,,Easy Ship
171-9040274-9291563,Expedited,THIRUVARUR,TAMIL NADU,613704.0,IN,Shipped,
403-7056319-0979561,Expedited,LUCKNOW,UTTAR PRADESH,226010.0,IN,Shipped,
404-9632124-1107550,Standard,VISAKHAPATNAM,ANDHRA PRADESH,530016.0,IN,Shipped,Easy Ship
402-1465437-0579556,Standard,JEYPUR,ODISHA,764001.0,IN,Shipped,Easy Ship
